Weight,Predicted Equation,MSE,Truth Error,Time Taken
0.25,"div(ARG3, ARG1)",359374860.57393456,48.06723664506565,363.99282455444336
100.0,"add(div(ARG1, ARG0), ARG1)",359195469.03303605,108699.49163077406,219.43708610534668
500.0,ARG0,359257639.941537,99180.14152878792,274.26405477523804
10000.0,"div(div(ARG2, sub(ARG0, ARG0)), sub(ARG0, ARG1))",359374940.64643687,0.0,365.6778054237366
100000.0,"div(mul(ARG1, ARG0), mul(ARG3, ARG2))",1.2726804250165141e-24,0.0,226.4811942577362
150000.0,"div(ARG0, ARG0)",359372075.6648073,149850.0,349.6374599933624
